Expense Detail Month of AUGUST-2026

DATE,CASH,BANK,TOTAL,EXPENSE CASH,NET BALANCE
2026-08-01,10500.0,29810.0,40310.0,900.0,39410.0
2026-08-02,14897.0,23000.0,37897.0,900.0,36997.0
2026-08-03,12399.0,15625.0,28024.0,1200.0,26824.0
2026-08-04,7309.0,23780.0,31089.0,900.0,30189.0
2026-08-05,14400.0,23104.0,37504.0,900.0,36604.0
2026-08-06,12599.0,17320.0,29919.0,900.0,29019.0
2026-08-07,15505.0,14240.0,29745.0,900.0,28845.0
2026-08-08,20466.0,30125.0,50591.0,1200.0,49391.0
2026-08-09,14626.0,30610.0,45236.0,1200.0,44036.0
2026-08-10,19074.0,18100.0,37174.0,1200.0,35974.0
2026-08-11,14824.0,18420.0,33244.0,1200.0,32044.0
2026-08-12,15719.0,10170.0,25889.0,1200.0,24689.0
2026-08-13,23371.0,10810.0,34181.0,2290.0,31891.0
2026-08-14,21749.0,19920.0,41669.0,1200.0,40469.0
2026-08-15,16041.0,18910.0,34951.0,1200.0,33751.0
2026-08-16,13798.0,14780.0,28578.0,1180.0,27398.0
2026-08-17,12757.0,16465.0,29222.0,900.0,28322.0
2026-08-18,9728.0,16820.0,26548.0,900.0,25648.0
2026-08-19,14241.0,15380.0,29621.0,1200.0,28421.0
2026-08-20,16259.0,17240.0,33499.0,1200.0,32299.0
2026-08-21,15678.0,19350.0,35028.0,1200.0,33828.0
2026-08-22,13271.0,27244.0,40515.0,1200.0,39315.0
2026-08-23,20125.0,18350.0,38475.0,3150.0,35325.0
2026-08-24,6453.0,16050.0,22503.0,2200.0,20303.0
2026-08-25,14397.0,16638.0,31035.0,1200.0,29835.0
2026-08-26,,16638.0,16638.0,,16638.0
2026-08-27,10000.0,8258.0,18258.0,1000.0,17258.0
TOTAL,380186.0,507157.0,887343.0,32620.0,854723.0
